##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-14 10:59:10
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                  -2.00000000E+01    0.00000000E+00   -9.38043601E-02   -1.62249789E-01    0.00000000E+00    0.00000000E+00   -9.11550681E+00   -1.00000000E+03   -9.11550681E+00   
                  -1.50000000E+01    0.00000000E+00   -6.99611054E-02   -1.21199014E-01    0.00000000E+00    0.00000000E+00   -1.16526175E+01   -1.00000000E+03   -1.16526175E+01   
                  -1.00000000E+01    0.00000000E+00   -4.64364906E-02   -8.05398616E-02    0.00000000E+00    0.00000000E+00   -1.52049240E+01   -1.00000000E+03   -1.52049240E+01   
                  -5.00000000E+00    0.00000000E+00   -2.31534300E-02   -4.01866345E-02    0.00000000E+00    0.00000000E+00   -2.12450788E+01   -1.00000000E+03   -2.12450788E+01   
                   0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00   -1.00000000E+03   -1.00000000E+03   -1.00000000E+03   
                   5.00000000E+00    0.00000000E+00    2.31534227E-02    4.01866380E-02    0.00000000E+00    0.00000000E+00   -2.12450789E+01   -1.00000000E+03   -2.12450789E+01   
                   1.00000000E+01    0.00000000E+00    4.64364675E-02    8.05398729E-02    0.00000000E+00    0.00000000E+00   -1.52049242E+01   -1.00000000E+03   -1.52049242E+01   
                   1.50000000E+01    0.00000000E+00    6.99610712E-02    1.21199030E-01    0.00000000E+00    0.00000000E+00   -1.16526177E+01   -1.00000000E+03   -1.16526177E+01   
                   2.00000000E+01    0.00000000E+00    9.38043306E-02    1.62249803E-01    0.00000000E+00    0.00000000E+00   -9.11550694E+00   -1.00000000E+03   -9.11550694E+00   
                   2.50000000E+01    0.00000000E+00    1.17992547E-01    2.03699805E-01    0.00000000E+00    0.00000000E+00   -7.13523754E+00   -1.00000000E+03   -7.13523754E+00   
                   3.00000000E+01    0.00000000E+00    1.42487247E-01    2.45457268E-01    0.00000000E+00    0.00000000E+00   -5.51082051E+00   -1.00000000E+03   -5.51082051E+00   
                   3.50000000E+01    0.00000000E+00    1.67174125E-01    2.87314348E-01    0.00000000E+00    0.00000000E+00   -4.13808369E+00   -1.00000000E+03   -4.13808369E+00   
                   4.00000000E+01    0.00000000E+00    1.91855977E-01    3.28936666E-01    0.00000000E+00    0.00000000E+00   -2.95765665E+00   -1.00000000E+03   -2.95765665E+00   
                   4.50000000E+01    0.00000000E+00    2.16250727E-01    3.69860767E-01    0.00000000E+00    0.00000000E+00   -1.93376488E+00   -1.00000000E+03   -1.93376488E+00   
                   5.00000000E+01    0.00000000E+00    2.39995521E-01    4.09500941E-01    0.00000000E+00    0.00000000E+00   -1.04418026E+00   -1.00000000E+03   -1.04418026E+00   
                   5.50000000E+01    0.00000000E+00    2.62657551E-01    4.47166364E-01    0.00000000E+00    0.00000000E+00   -2.74914710E-01   -1.00000000E+03   -2.74914710E-01   
                   6.00000000E+01    0.00000000E+00    2.83751758E-01    4.82088738E-01    0.00000000E+00    0.00000000E+00    3.82819569E-01   -1.00000000E+03    3.82819569E-01   
                   6.50000000E+01    0.00000000E+00    3.02764875E-01    5.13459543E-01    0.00000000E+00    0.00000000E+00    9.34463308E-01   -1.00000000E+03    9.34463308E-01   
                   7.00000000E+01    0.00000000E+00    3.19184474E-01    5.40474829E-01    0.00000000E+00    0.00000000E+00    1.38329384E+00   -1.00000000E+03    1.38329384E+00   
                   7.50000000E+01    0.00000000E+00    3.32530933E-01    5.62384353E-01    0.00000000E+00    0.00000000E+00    1.73120555E+00   -1.00000000E+03    1.73120555E+00   
                   8.00000000E+01    0.00000000E+00    3.42389611E-01    5.78540927E-01    0.00000000E+00    0.00000000E+00    1.97923256E+00   -1.00000000E+03    1.97923256E+00   
                   8.50000000E+01    0.00000000E+00    3.48440205E-01    5.88445370E-01    0.00000000E+00    0.00000000E+00    2.12789668E+00   -1.00000000E+03    2.12789668E+00   
                   9.00000000E+01    0.00000000E+00    3.50480314E-01    5.91782564E-01    0.00000000E+00    0.00000000E+00    2.17742905E+00   -1.00000000E+03    2.17742905E+00   
                   9.50000000E+01    0.00000000E+00    3.48440703E-01    5.88444788E-01    0.00000000E+00    0.00000000E+00    2.12789355E+00   -1.00000000E+03    2.12789355E+00   
                   1.00000000E+02    0.00000000E+00    3.42390583E-01    5.78539790E-01    0.00000000E+00    0.00000000E+00    1.97922632E+00   -1.00000000E+03    1.97922632E+00   
                   1.05000000E+02    0.00000000E+00    3.32532334E-01    5.62382712E-01    0.00000000E+00    0.00000000E+00    1.73119625E+00   -1.00000000E+03    1.73119625E+00   
                   1.10000000E+02    0.00000000E+00    3.19186239E-01    5.40472753E-01    0.00000000E+00    0.00000000E+00    1.38328153E+00   -1.00000000E+03    1.38328153E+00   
                   1.15000000E+02    0.00000000E+00    3.02766927E-01    5.13457119E-01    0.00000000E+00    0.00000000E+00    9.34448076E-01   -1.00000000E+03    9.34448076E-01   
                   1.20000000E+02    0.00000000E+00    2.83754012E-01    4.82086062E-01    0.00000000E+00    0.00000000E+00    3.82801519E-01   -1.00000000E+03    3.82801519E-01   
                   1.25000000E+02    0.00000000E+00    2.62659919E-01    4.47163537E-01    0.00000000E+00    0.00000000E+00   -2.74935454E-01   -1.00000000E+03   -2.74935454E-01   
                   1.30000000E+02    0.00000000E+00    2.39997917E-01    4.09498062E-01    0.00000000E+00    0.00000000E+00   -1.04420356E+00   -1.00000000E+03   -1.04420356E+00   
                   1.35000000E+02    0.00000000E+00    2.16253071E-01    3.69857930E-01    0.00000000E+00    0.00000000E+00   -1.93379056E+00   -1.00000000E+03   -1.93379056E+00   
                   1.40000000E+02    0.00000000E+00    1.91858200E-01    3.28933954E-01    0.00000000E+00    0.00000000E+00   -2.95768453E+00   -1.00000000E+03   -2.95768453E+00   
                   1.45000000E+02    0.00000000E+00    1.67176168E-01    2.87311836E-01    0.00000000E+00    0.00000000E+00   -4.13811357E+00   -1.00000000E+03   -4.13811357E+00   
                   1.50000000E+02    0.00000000E+00    1.42489064E-01    2.45455018E-01    0.00000000E+00    0.00000000E+00   -5.51085216E+00   -1.00000000E+03   -5.51085216E+00   
